2016-07-31 08:52:25 somebody totally sell [YYH] with [99.99] price , amount is 13
2016-07-31 08:53:32 somebody totally buy [YYH] with [107.58] price , amount is 5
2016-07-31 08:53:33 somebody totally sell [YYH] with [102.48] price , amount is 41
2016-07-31 08:53:35 somebody partly sell [YYH] with [101.93] price , amount is 28
2016-07-31 08:53:36 somebody totally sell [YYH] with [91.54] price , amount is 1
2016-07-31 08:53:38 somebody partly buy [YYH] with [104.20] price , amount is 34
2016-07-31 08:53:40 somebody partly sell [YYH] with [99.29] price , amount is 28
2016-07-31 08:53:42 somebody partly buy [YYH] with [104.60] price , amount is 15
2016-07-31 08:53:44 somebody partly sell [YYH] with [103.51] price , amount is 24
2016-07-31 08:53:45 somebody totally sell [YYH] with [92.25] price , amount is 7
2016-07-31 08:53:46 somebody partly sell [YYH] with [98.95] price , amount is 31
2016-07-31 08:53:47 somebody totally sell [YYH] with [93.88] price , amount is 11
2016-07-31 08:53:48 somebody partly sell [YYH] with [99.97] price , amount is 53
2016-07-31 08:53:50 somebody totally sell [YYH] with [95.66] price , amount is 28
2016-07-31 08:53:51 somebody totally buy [YYH] with [107.59] price , amount is 10
2016-07-31 08:53:52 somebody partly buy [YYH] with [105.92] price , amount is 12
2016-07-31 08:53:53 somebody totally sell [YYH] with [92.47] price , amount is 67
2016-07-31 08:53:54 somebody partly sell [YYH] with [103.86] price , amount is 11
2016-07-31 08:53:55 somebody totally sell [YYH] with [90.60] price , amount is 22
2016-07-31 08:53:56 somebody partly sell [YYH] with [96.92] price , amount is 34
2016-07-31 08:53:57 somebody totally sell [YYH] with [97.50] price , amount is 37
2016-07-31 08:53:59 somebody totally buy [YYH] with [109.88] price , amount is 32
2016-07-31 08:54:01 somebody partly buy [YYH] with [105.82] price , amount is 4
2016-07-31 08:54:02 somebody totally sell [YYH] with [102.15] price , amount is 8
2016-07-31 08:54:05 somebody partly buy [YYH] with [106.72] price , amount is 17
2016-07-31 08:54:06 somebody partly sell [YYH] with [94.92] price , amount is 76
